[2025-09-26T15:56:06.549] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-26T19:50:44.919] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-26T19:50:48.156] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-26T22:19:31.105] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-26T22:21:54.085] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/todos | Método: GET | Status: 200
[2025-09-26T22:22:14.339] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/todos | Método: GET | Status: 200
[2025-09-26T22:23:53.585] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/todos | Método: GET | Status: 200
[2025-09-26T22:28:32.062] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/%7B1%7D | Método: GET | Status: 400
[2025-09-26T22:28:40.204] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/1 | Método: GET | Status: 200
[2025-09-26T22:29:00.742] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/nombre | Método: GET | Status: 500
[2025-09-26T22:29:10.796] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/Super | Método: GET | Status: 400
[2025-09-26T22:29:20.135] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/nombre/Super | Método: GET | Status: 404
[2025-09-26T23:53:16.029] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-26T23:55:31.252] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/nombre | Método: GET | Status: 500
[2025-09-26T23:56:15.767] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/nombre | Método: GET | Status: 500
[2025-09-27T00:00:33.171] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/todos | Método: GET | Status: 200
[2025-09-27T00:02:34.901] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/1 | Método: GET | Status: 200
[2025-09-27T00:11:11.220] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T00:11:30.348] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/todos | Método: GET | Status: 200
[2025-09-27T00:11:48.965] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/nombre | Método: GET | Status: 200
[2025-09-27T00:12:05.724] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/1 | Método: GET | Status: 200
[2025-09-27T00:14:39.740] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/correo | Método: GET | Status: 200
[2025-09-27T00:17:16.986] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T00:17:48.582] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/crear | Método: POST | Status: 201
[2025-09-27T00:20:59.976] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/actualizar/2 | Método: PUT | Status: 400
[2025-09-27T00:25:25.915] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/actualizar/2 | Método: PUT | Status: 400
[2025-09-27T00:30:36.153] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T00:30:58.312] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/actualizar/2 | Método: PUT | Status: 400
[2025-09-27T00:34:06.678] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/actualizar/2 | Método: PUT | Status: 400
[2025-09-27T00:34:09.003] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/actualizar/2 | Método: PUT | Status: 400
[2025-09-27T00:34:50.487] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/actualizar/2 | Método: PUT | Status: 400
[2025-09-27T01:13:23.580] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T01:13:50.733] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/actualizar/2 | Método: PUT | Status: 200
[2025-09-27T10:01:57.149] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T10:03:37.017] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/apellido | Método: GET | Status: 200
[2025-09-27T10:05:53.871] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/nombreUsuario | Método: GET | Status: 400
[2025-09-27T10:07:37.946] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/nombre-Uuuario | Método: GET | Status: 400
[2025-09-27T10:07:50.133] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/nombre-usuario | Método: GET | Status: 500
[2025-09-27T10:09:35.010] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/nombre-usuario | Método: GET | Status: 500
[2025-09-27T10:09:59.944] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T10:10:28.127] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/nombre-usuario | Método: GET | Status: 500
[2025-09-27T10:12:09.010] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/nombre-usuario | Método: GET | Status: 500
[2025-09-27T10:12:11.550] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/nombre-usuario | Método: GET | Status: 500
[2025-09-27T10:14:50.957] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/nombre-usuario | Método: GET | Status: 500
[2025-09-27T10:15:59.829] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/nombre-usuario | Método: GET | Status: 500
[2025-09-27T10:21:25.031] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T10:21:51.212] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/nombre-usuario | Método: GET | Status: 200
[2025-09-27T10:28:42.133] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T10:29:20.501] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/rango-fecha-creacion | Método: GET | Status: 400
[2025-09-27T10:30:21.272] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/rango-fecha-creacion | Método: GET | Status: 400
[2025-09-27T10:33:33.775] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/rango-fecha-creacion | Método: GET | Status: 400
[2025-09-27T10:35:42.039] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/rango-ultimo-ingreso | Método: GET | Status: 500
[2025-09-27T10:36:30.875] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/rango-ultimo-ingreso | Método: GET | Status: 500
[2025-09-27T10:38:02.679] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/rango-fecha-creacion | Método: GET | Status: 200
[2025-09-27T10:52:17.404] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T10:52:48.663] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/rango-ultimo-ingreso | Método: GET | Status: 200
[2025-09-27T10:55:54.299] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/cambiar-clave/2 | Método: PUT | Status: 200
[2025-09-27T10:57:29.642] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T10:57:47.113] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/desactivar/id/2 | Método: PUT | Status: 204
[2025-09-27T11:03:17.610] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T11:03:42.805] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/actualizar/2 | Método: PUT | Status: 200
[2025-09-27T11:07:02.834] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T11:07:18.526] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/desactivar/nombre-usuario | Método: PUT | Status: 204
[2025-09-27T11:07:38.837] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/actualizar/2 | Método: PUT | Status: 200
[2025-09-27T11:10:49.468] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/desactivar/correo | Método: PUT | Status: 204
[2025-09-27T11:11:24.942] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/actualizar/2 | Método: PUT | Status: 200
[2025-09-27T12:28:39.223] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T12:30:10.568] Usuario: admin@tuapp.com | Endpoint: /api/productos/crear | Método: POST | Status: 201
[2025-09-27T12:41:33.409] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T12:43:00.058] Usuario: admin@tuapp.com | Endpoint: /api/productos/2 | Método: GET | Status: 400
[2025-09-27T12:43:21.072] Usuario: admin@tuapp.com | Endpoint: /api/productos/2 | Método: GET | Status: 400
[2025-09-27T12:44:11.376] Usuario: admin@tuapp.com | Endpoint: /api/productos/2 | Método: GET | Status: 400
[2025-09-27T12:45:53.675] Usuario: admin@tuapp.com | Endpoint: /api/productos/2 | Método: GET | Status: 400
[2025-09-27T12:46:31.755] Usuario: admin@tuapp.com | Endpoint: /api/productos/2 | Método: GET | Status: 400
[2025-09-27T12:46:51.181] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T12:47:11.538] Usuario: admin@tuapp.com | Endpoint: /api/productos/2 | Método: GET | Status: 400
[2025-09-27T12:48:18.370] Usuario: admin@tuapp.com | Endpoint: /api/productos/2 | Método: GET | Status: 400
[2025-09-27T12:48:26.689] Usuario: admin@tuapp.com | Endpoint: /api/productos/3 | Método: GET | Status: 400
[2025-09-27T12:48:32.633] Usuario: admin@tuapp.com | Endpoint: /api/productos/2 | Método: GET | Status: 400
[2025-09-27T12:50:51.517] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T12:51:11.163] Usuario: admin@tuapp.com | Endpoint: /api/productos/actualizar/2 | Método: PUT | Status: 400
[2025-09-27T12:58:36.972] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T12:59:14.480] Usuario: admin@tuapp.com | Endpoint: /api/productos/2 | Método: GET | Status: 200
[2025-09-27T13:00:49.662] Usuario: admin@tuapp.com | Endpoint: /api/productos/nombre | Método: GET | Status: 200
[2025-09-27T13:01:56.627] Usuario: admin@tuapp.com | Endpoint: /api/productos/estado | Método: GET | Status: 200
[2025-09-27T13:03:37.931] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T13:03:54.330] Usuario: admin@tuapp.com | Endpoint: /api/productos/categoria | Método: GET | Status: 200
[2025-09-27T13:04:54.149] Usuario: admin@tuapp.com | Endpoint: /api/productos/precio | Método: GET | Status: 500
[2025-09-27T13:05:39.183] Usuario: admin@tuapp.com | Endpoint: /api/productos/precio | Método: GET | Status: 200
[2025-09-27T13:06:37.143] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T13:06:53.510] Usuario: admin@tuapp.com | Endpoint: /api/productos/actualizar/2 | Método: PUT | Status: 400
[2025-09-27T13:12:30.663] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T13:13:36.977] Usuario: admin@tuapp.com | Endpoint: /api/productos/actualizar/2 | Método: PUT | Status: 200
[2025-09-27T13:14:31.189] Usuario: admin@tuapp.com | Endpoint: /api/productos/actualizar/2 | Método: PUT | Status: 200
[2025-09-27T13:15:57.028] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T13:16:13.474] Usuario: admin@tuapp.com | Endpoint: /api/productos/desactivar/2 | Método: PUT | Status: 204
[2025-09-27T13:16:47.266] Usuario: admin@tuapp.com | Endpoint: /api/productos/actualizar/2 | Método: PUT | Status: 200
[2025-09-27T13:19:21.612] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T13:19:37.974] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-creacion | Método: GET | Status: 400
[2025-09-27T13:21:08.174] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-creacion | Método: GET | Status: 400
[2025-09-27T13:22:58.800] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-creacion | Método: GET | Status: 200
[2025-09-27T13:24:38.145] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-creacion | Método: GET | Status: 200
[2025-09-27T13:25:04.826] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-creacion | Método: GET | Status: 200
[2025-09-27T13:26:31.796] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-creacion | Método: GET | Status: 200
[2025-09-27T13:26:42.996] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-creacion | Método: GET | Status: 200
[2025-09-27T13:27:38.975] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T13:27:55.550] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-actualizacion | Método: GET | Status: 400
[2025-09-27T13:28:09.711] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-actualizacion | Método: GET | Status: 400
[2025-09-27T13:29:52.351] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-actualizacion | Método: GET | Status: 500
[2025-09-27T13:29:59.619] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-actualizacion | Método: GET | Status: 500
[2025-09-27T13:30:05.683] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-actualizacion | Método: GET | Status: 500
[2025-09-27T13:30:27.581] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-actualizacion | Método: GET | Status: 500
[2025-09-27T13:32:40.849] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-actualizacion | Método: GET | Status: 500
[2025-09-27T13:36:48.848] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-actualizacion | Método: GET | Status: 500
[2025-09-27T13:37:01.016] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T13:37:25.668] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-actualizacion | Método: GET | Status: 500
[2025-09-27T13:39:05.073] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T13:39:44.198] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-actualizacion | Método: GET | Status: 200
[2025-09-27T13:40:01.381] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-actualizacion | Método: GET | Status: 200
[2025-09-27T13:40:09.504] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-actualizacion | Método: GET | Status: 200
[2025-09-27T13:40:17.118] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-actualizacion | Método: GET | Status: 200
[2025-09-27T13:40:23.021] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-actualizacion | Método: GET | Status: 200
[2025-09-27T13:42:04.978] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-actualizacion | Método: GET | Status: 200
[2025-09-27T13:42:06.947] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-actualizacion | Método: GET | Status: 200
[2025-09-27T13:42:32.651] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-actualizacion | Método: GET | Status: 200
[2025-09-27T13:43:58.663] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-actualizacion | Método: GET | Status: 200
[2025-09-27T13:50:19.632] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T13:50:42.998] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-actualizacion | Método: GET | Status: 200
[2025-09-27T13:51:31.222] Usuario: admin@tuapp.com | Endpoint: /api/productos/rango-fecha-actualizacion | Método: GET | Status: 200
[2025-09-27T14:26:12.778] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T14:26:33.146] Usuario: admin@tuapp.com | Endpoint: /api/categorias/crear | Método: POST | Status: 201
[2025-09-27T14:26:57.892] Usuario: admin@tuapp.com | Endpoint: /api/categorias/categorias | Método: GET | Status: 400
[2025-09-27T14:30:17.694] Usuario: admin@tuapp.com | Endpoint: /api/categorias/categorias | Método: GET | Status: 200
[2025-09-27T14:31:21.832] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T14:31:47.364] Usuario: admin@tuapp.com | Endpoint: /api/categorias/crear | Método: POST | Status: 201
[2025-09-27T14:32:02.846] Usuario: admin@tuapp.com | Endpoint: /api/categorias/categorias | Método: GET | Status: 200
[2025-09-27T14:32:24.861] Usuario: admin@tuapp.com | Endpoint: /api/categorias/4 | Método: GET | Status: 200
[2025-09-27T14:34:02.225] Usuario: admin@tuapp.com | Endpoint: /api/categorias/buscar | Método: GET | Status: 200
[2025-09-27T14:34:34.651] Usuario: admin@tuapp.com | Endpoint: /api/categorias/estado | Método: GET | Status: 200
[2025-09-27T14:35:59.016] Usuario: admin@tuapp.com | Endpoint: /api/categorias/actualizar/3 | Método: PUT | Status: 400
[2025-09-27T14:38:43.269] Usuario: admin@tuapp.com | Endpoint: /api/categorias/actualizar/3 | Método: PUT | Status: 400
[2025-09-27T14:39:43.903] Usuario: admin@tuapp.com | Endpoint: /api/categorias/actualizar/3 | Método: PUT | Status: 400
[2025-09-27T14:40:03.184] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T14:40:28.663] Usuario: admin@tuapp.com | Endpoint: /api/categorias/actualizar/3 | Método: PUT | Status: 400
[2025-09-27T14:41:57.934] Usuario: admin@tuapp.com | Endpoint: /api/categorias/actualizar/3 | Método: PUT | Status: 400
[2025-09-27T15:15:29.593] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T15:16:02.142] Usuario: admin@tuapp.com | Endpoint: /api/categorias/actualizar/4 | Método: PUT | Status: 200
[2025-09-27T15:16:27.395] Usuario: admin@tuapp.com | Endpoint: /api/categorias/actualizar/4 | Método: PUT | Status: 400
